Mouse_Symbol,Human_Symbol_Manning,Human_Symbol_KinHub,Human_Symbol_Coral,Human_Symbol_Legacy,Description,Group,Family,Subfamily,UniProt_Human,MGI_Mouse,Entrez_Mouse,Source,Date,UniProt_Mouse_biomart,UniProt_Mouse_UniProtAPI,biomart_source,uniprotapi_source
Insrr,IRR,IRR,INSRR,IRR,Insulin receptor-related protein,TK,InsR,"",P14616,MGI:1346037,23920,KinHub,10/6/2020,Q9WTL4,Q9WTL4;Q8C4P9;Q3UWD6;Q3UQC8,biomart,uniprot_api
Ip6k1,"","",IP6K1,"",inositol hexaphosphate kinase 1,Metabolic,"","","",MGI:1351633,27399,MGI,10/6/2020,Q6PD10;,Q6PD10;Q6A097;A0A0A6YVR5;Q3UGJ0;H3BIW9;H3BLD6;H3BKZ2;F7CWH3;H3BKD8,biomart,uniprot_api
Ip6k2,"","",IP6K2,"",inositol hexaphosphate kinase 2,Metabolic,"","","",MGI:1923750,76500,MGI,10/6/2020,;Q80V72,Q80V72;A0A0A6YX46;Q6PAT6;A0A0A6YWE4;Q9DB68;A0A0A6YVS3;A0A0A6YWM3;A0A0A6YXT7;A0A0A6YWA1;A0A0A6YY18,biomart,uniprot_api
Ipmk,"","",IPMK,"",inositol polyphosphate multikinase,Metabolic,"","","",MGI:1916968,69718,MGI,10/6/2020,Q7TT16;,Q7TT16;D3YWA2;F6X767,biomart,uniprot_api
Irak1,IRAK1,IRAK1,IRAK1,IRAK1,Interleukin-1 receptor-associated kinase 1,TKL,IRAK,"",P51617,MGI:107420,16179,KinHub,10/6/2020,;Q62406,Q62406;B1AUW6;B1AUW9;Q8BR10;Q99J34;Q540G0;Q8K4N8;B1AUW8;F7CUT1;F6ZGQ1;B1AUW1;F6TQF4;F7ANU5;B1AUV9;F6THK7,biomart,uniprot_api
Irak2,IRAK2,IRAK2,IRAK2,IRAK2,Interleukin-1 receptor-associated kinase-like 2,TKL,IRAK,"",O43187,MGI:2429603,108960,KinHub,10/6/2020,Q8CFA1;,Q8CFA1;A0A0N4SUW3,biomart,uniprot_api
Irak3,IRAK3,IRAK3,IRAK3,IRAK3,Interleukin-1 receptor-associated kinase 3,TKL,IRAK,"",Q9Y616,MGI:1921164,73914,KinHub,10/6/2020,Q8K4B2;,Q8K4B2;Q0VB14;D6RCU1;D3Z007,biomart,uniprot_api
Irak4,IRAK4,IRAK4,IRAK4,IRAK4,Interleukin-1 receptor-associated kinase 4,TKL,IRAK,"",Q9NWZ3,MGI:2182474,266632,KinHub,10/6/2020,Q8R4K2;,Q8R4K2;Q3USX5;Q9D250,biomart,uniprot_api
Itk,ITK,ITK,ITK,ITK,Tyrosine-protein kinase ITK/TSK,TK,Tec,"",Q08881,MGI:96621,16428,KinHub,10/6/2020,;Q03526,Q03526;Q5STT8;A1A560;Q3U5G1;Q8CAW3;Q5STT7;Q76N02,biomart,uniprot_api
Jak1,JAK1,JAK1,JAK1,JAK1,Tyrosine-protein kinase JAK1,TK,Jak,"",P23458,MGI:96628,16451,KinHub,10/6/2020,"",P52332;B1ASP2;Q3U8P8;Q3URU8;Q8K0I7;Q3TI10;Q3UZ30;Q8CFX4;B1ASP3,,uniprot_api
Jak2,JAK2,JAK2,JAK2,JAK2,Tyrosine-protein kinase JAK2,TK,Jak,"",O60674,MGI:96629,16452,KinHub,10/6/2020,;Q62120,Q62120;A0A494BBB9;Q8CIN8,biomart,uniprot_api
Jak3,JAK3,JAK3,JAK3,JAK3,Tyrosine-protein kinase JAK3,TK,Jak,"",P52333,MGI:99928,16453,KinHub,10/6/2020,"",Q62137;A0A0R4J0R7;P97423,,uniprot_api
Kalrn,Trad,Trad,KALRN,Trad,HCG2039851,CAMK,Trio,"",O60229,MGI:2685385,545156,KinHub,10/6/2020,;A2CG49,A2CG49;D3Z4R2;F6QYT9;B1B1A7;D3Z534;D3Z535;D3Z560;D3Z532;Q6PD97,biomart,uniprot_api
Kdr,KDR,KDR,KDR,KDR,Vascular endothelial growth factor receptor 2,TK,VEGFR,"",P35968,MGI:96683,16542,KinHub,10/6/2020,P35918,P35918;Q3UQZ6;Q8CD05,biomart,uniprot_api
Khk,"","",KHK,"",ketohexokinase,Metabolic,"","","",MGI:1096353,16548,MGI,10/6/2020,"",P97328;A0A0J9YU79;A0A0J9YTU1;A0A0J9YUK6;Q9CPP1;E9Q1Q9,,uniprot_api
Kit,KIT,KIT,KIT,KIT,Mast/stem cell growth factor receptor Kit,TK,PDGFR,"",P10721,MGI:96677,16590,KinHub,10/6/2020,P05532,P05532;Q3ULJ6;C7ENW2;A4ZVL1,biomart,uniprot_api
Ksr1,KSR1,KSR1,KSR1,KSR1,Kinase suppressor of Ras 1,TKL,RAF,KSR,Q8IVT5,MGI:105051,16706,KinHub,10/6/2020,Q61097;,Q61097;Q5SXE4;Q3UV75;A0A2I3BR95;A0A140LHP4;Q5SXE1;A0A140LHS5;Q5SXE2,biomart,uniprot_api
Ksr2,KSR2,KSR2,KSR2,KSR2,Kinase suppressor of Ras 2,TKL,RAF,"",Q6VAB6,MGI:3610315,333050,KinHub,10/6/2020,;Q3UVC0,Q3UVC0;A0A8V5L0Q6;A5X3G4;A0A075EIS2;C4IXV3,biomart,uniprot_api
Lats1,LATS1,LATS1,LATS1,LATS1,Serine/threonine-protein kinase LATS1,AGC,NDR,"",O95835,MGI:1333883,16798,KinHub,10/6/2020,Q8BYR2,Q8BYR2,biomart,uniprot_api
Lats2,LATS2,LATS2,LATS2,LATS2,Serine/threonine-protein kinase LATS2,AGC,NDR,"",Q9NRM7,MGI:1354386,50523,KinHub,10/6/2020,Q7TSJ6;,Q7TSJ6;G3UYM3;G3UY78;G3UXX1;Q8VHE2;G3UZ29;G3UWQ0;Q8VHE1,biomart,uniprot_api
Lck,LCK,LCK,LCK,LCK,Tyrosine-protein kinase Lck,TK,Src,"",P06239,MGI:96756,16818,KinHub,10/6/2020,;P06240,P06240;E9Q696;Q3TLX4;B2KG65,biomart,uniprot_api
Limk1,LIMK1,LIMK1,LIMK1,LIMK1,LIM domain kinase 1,TKL,LISK,LIMK,P53667,MGI:104572,16885,KinHub,10/6/2020,P53668;,P53668;Q3UR47;E9PVB6;F6PZ73;Q3TA53;Q3TDI9;F6XM68;Q3UTQ4,biomart,uniprot_api
Limk2,LIMK2,LIMK2,LIMK2,LIMK2,LIM domain kinase 2,TKL,LISK,LIMK,P53671,MGI:1197517,16886,KinHub,10/6/2020,O54785;,O54785;Q5NC03;Q8BS94;Q8CAM1,biomart,uniprot_api
Lmtk2,LMR2,LMR2,LMTK2,LMR2,Serine/threonine-protein kinase LMTK2,TK,Lmr,"",Q8IWU2,MGI:3036247,231876,KinHub,10/6/2020,Q3TYD6,Q3TYD6,biomart,uniprot_api
Lmtk3,LMR3,LMR3,LMTK3,LMR3,Serine/threonine-protein kinase LMTK3,TK,Lmr,"",Q96Q04,MGI:3039582,381983,KinHub,10/6/2020,"",Q5XJV6;A0A1B0GSR5;A0A0R4J0W7;A0A3B2WCD2;A0A1B0GRD8;A0A1B0GSU1;A0A1B0GR61;A0A1B0GSP4,,uniprot_api
Lrrk1,LRRK1,LRRK1,LRRK1,LRRK1,Leucine-rich repeat serine/threonine-protein kinase 1,TKL,LRRK,"",Q38SD2,MGI:2142227,233328,KinHub,10/6/2020,Q3UHC2;,Q3UHC2;F6YIW9;Q3TAH2,biomart,uniprot_api
Lrrk2,LRRK2,LRRK2,LRRK2,LRRK2,Leucine-rich repeat serine/threonine-protein kinase 2,TKL,LRRK,"",Q5S007,MGI:1913975,66725,KinHub,10/6/2020,Q5S006,Q5S006;Q9CQG8;Q8BU87,biomart,uniprot_api
Ltk,LTK,LTK,LTK,LTK,Leukocyte tyrosine kinase receptor,TK,ALK,"",P29376,MGI:96840,17005,KinHub,10/6/2020,;P08923,P08923;B9EJ30;A0A804AW03;F6V2R5;Q0VGZ5,biomart,uniprot_api
Lyn,LYN,LYN,LYN,LYN,Tyrosine-protein kinase Lyn,TK,Src,"",P07948,MGI:96892,17096,KinHub,10/6/2020,P25911,P25911;Q3TCS3;Q3U6Q5;Q8CEI0;Q05DV0,biomart,uniprot_api
Mak,MAK,MAK,MAK,MAK,Serine/threonine-protein kinase MAK,CMGC,RCK,"",P20794,MGI:96913,17152,KinHub,10/6/2020,Q04859;,Q04859;A0A286YCF7;A0A286YD80;A0A286YCX7,biomart,uniprot_api
Map2k1,MAP2K1,MAP2K1,MAP2K1,MAP2K1,Dual specificity mitogen-activated protein kinase kinase 1,STE,STE7,"",Q02750,MGI:1346866,26395,KinHub,10/6/2020,P31938,P31938;Q3TMJ8;Q3U3F4;Q9JJE1;Q3UK05;Q3TMW4,biomart,uniprot_api
Map2k2,MAP2K2,MAP2K2,MAP2K2,MAP2K2,Dual specificity mitogen-activated protein kinase kinase 2,STE,STE7,"",P36507,MGI:1346867,26396,KinHub,10/6/2020,Q63932;,Q63932;Q91YS7;M0QWN2;Q3UPM3;A0A1W2P7V9;D3Z446;A0A1W2P769;Q3USU3;Q8CB46,biomart,uniprot_api
Map2k3,MAP2K3,MAP2K3,MAP2K3,MAP2K3,Dual specificity mitogen-activated protein kinase kinase 3,STE,STE7,"",P46734,MGI:1346868,26397,KinHub,10/6/2020,O09110;,O09110;Q5SWN9;Q3TX82;A0A0R4J1Q6;Q3TJG7;Q3TLX7;Q3UDI2,biomart,uniprot_api
Map2k4,MAP2K4,MAP2K4,MAP2K4,MAP2K4,Dual specificity mitogen-activated protein kinase kinase 4,STE,STE7,"",P45985,MGI:1346869,26398,KinHub,10/6/2020,P47809;,P47809;B1ATL6;Q543X6;Q8K2U0;M0QW52;A0A2I3BQK8;M0QWR0;M0QWG5,biomart,uniprot_api
Map2k5,MAP2K5,MAP2K5,MAP2K5,MAP2K5,Dual specificity mitogen-activated protein kinase kinase 5,STE,STE7,"",Q13163,MGI:1346345,23938,KinHub,10/6/2020,Q9WVS7,Q9WVS7;Q3TM51;Q9CXY7,biomart,uniprot_api
Map2k6,MAP2K6,MAP2K6,MAP2K6,MAP2K6,Dual specificity mitogen-activated protein kinase kinase 6,STE,STE7,"",P52564,MGI:1346870,26399,KinHub,10/6/2020,P70236;,P70236;Q8BP44;A2AGS2;Q3UU57;Q543Z5;Q60521;P70273,biomart,uniprot_api
Map2k7,MAP2K7,MAP2K7,MAP2K7,MAP2K7,Dual specificity mitogen-activated protein kinase kinase 7,STE,STE7,"",O14733,MGI:1346871,26400,KinHub,10/6/2020,Q8CE90;,Q8CE90;A0A140LHN8,biomart,uniprot_api
Map3k1,MAP3K1,MAP3K1,MAP3K1,MAP3K1,Mitogen-activated protein kinase kinase kinase 1,STE,STE11,"",Q13233,MGI:1346872,26401,KinHub,10/6/2020,"",P53349;F8VQ72;D3YVX9,,uniprot_api
Map3k10,MLK2,MLK2,MAP3K10,MLK2,Mitogen-activated protein kinase kinase kinase 10,TKL,MLK,MLK,Q02779,MGI:1346879,269881,KinHub,10/6/2020,Q66L42;,Q66L42;D3YXM8;A0A0U1RQ74,biomart,uniprot_api
Map3k11,MLK3,MLK3,MAP3K11,MLK3,Mitogen-activated protein kinase kinase kinase 11,TKL,MLK,MLK,Q16584,MGI:1346880,26403,KinHub,10/6/2020,Q80XI6;,Q80XI6;A0A494BBI0;A0A494BAX3,biomart,uniprot_api
Map3k12,DLK,DLK,MAP3K12,DLK,Mitogen-activated protein kinase kinase kinase 12,TKL,MLK,LZK,Q12852,MGI:1346881,26404,KinHub,10/6/2020,Q60700;,Q60700;E9PUZ1;E9QA89;Q60647;E9PZU4,biomart,uniprot_api
Map3k13,LZK,LZK,MAP3K13,LZK,Mitogen-activated protein kinase kinase kinase 13,TKL,MLK,LZK,O43283,MGI:2444243,71751,KinHub,10/6/2020,Q1HKZ5,Q1HKZ5,biomart,uniprot_api
Map3k14,NIK,NIK,MAP3K14,NIK,Mitogen-activated protein kinase kinase kinase 14,STE,STE-Unique,"",Q99558,MGI:1858204,53859,KinHub,10/6/2020,Q9WUL6,Q9WUL6;Q544K4;Q3KNY7,biomart,uniprot_api
Map3k15,MAP3K7,MAP3K7,MAP3K15,MAP3K7,Mitogen-activated protein kinase kinase kinase 15,STE,STE11,"",Q6ZN16,MGI:2448588,270672,KinHub,10/6/2020,A2AQW0,A2AQW0,biomart,uniprot_api
Map3k19,MAP3K19,MAP3K8,MAP3K19,MAP3K19,Mitogen-activated protein kinase kinase kinase 19,STE,STE11,"",Q56UN5,MGI:1203481,22625,KinHub,10/6/2020,;E9Q3S4,E9Q3S4;A0A140LHL6;A0A087WR30;A0A087WSG0;A0A571BFV4;A0A087WS76;Q61157,biomart,uniprot_api
Map3k2,MAP3K2,MAP3K2,MAP3K2,MAP3K2,Mitogen-activated protein kinase kinase kinase 2,STE,STE11,"",Q9Y2U5,MGI:1346873,26405,KinHub,10/6/2020,"",Q61083;G5E8L8,,uniprot_api
Map3k20,ZAK,ZAK,MLTK,ZAK,Mitogen-activated protein kinase kinase kinase MLT,TKL,MLK,ZAK,Q9NYL2,MGI:2443258,65964,KinHub,10/6/2020,Q9ESL4;,Q9ESL4;Q3TRG2;Q8BUD3;A2ASW6,biomart,uniprot_api
Map3k21,MLK4,MLK4,MLK4,MLK4,Mitogen-activated protein kinase kinase kinase MLK4,TKL,MLK,MLK,Q5TCX8,MGI:2385307,234878,KinHub,10/6/2020,Q8VDG6,Q8VDG6;Q3UWD8,biomart,uniprot_api
Map3k3,MAP3K3,MAP3K3,MAP3K3,MAP3K3,Mitogen-activated protein kinase kinase kinase 3,STE,STE11,"",Q99759,MGI:1346874,26406,KinHub,10/6/2020,Q61084,Q61084;Q3UVM5;Q5DTS0,biomart,uniprot_api
Map3k4,MAP3K4,MAP3K4,MAP3K4,MAP3K4,Mitogen-activated protein kinase kinase kinase 4,STE,STE11,"",Q9Y6R4,MGI:1346875,26407,KinHub,10/6/2020,O08648;,O08648;Q80U64;A0A3B2WCF6;A0A3B2W3Y3;Q9CRU1;Q3UZV9,biomart,uniprot_api
Map3k5,MAP3K5,MAP3K5,MAP3K5,MAP3K5,Mitogen-activated protein kinase kinase kinase 5,STE,STE11,"",Q99683,MGI:1346876,26408,KinHub,10/6/2020,O35099;,O35099;E9PWG9;Q14AY4;D3YVC4;D3Z5H1;A0A1L1ST18;Q8CC79,biomart,uniprot_api
Map3k6,MAP3K6,MAP3K6,MAP3K6,MAP3K6,Mitogen-activated protein kinase kinase kinase 6,STE,STE11,"",O95382,MGI:1855691,53608,KinHub,10/6/2020,"",Q9WTR2;A0A0A0MQ82,,uniprot_api
Map3k7,TAK1,TAK1,MAP3K7,TAK1,Mitogen-activated protein kinase kinase kinase 7,TKL,MLK,TAK1,O43318,MGI:1346877,26409,KinHub,10/6/2020,;Q62073,Q62073;Q923A8;Q543B5;Q3TXG1;A2AP92;A2AP93,biomart,uniprot_api
Map3k8,COT,COT,MAP3K8,COT,Mitogen-activated protein kinase kinase kinase 8,STE,STE-Unique,"",P41279,MGI:1346878,26410,KinHub,10/6/2020,Q07174;,Q07174;Q3UEB8;Q3U086;G3UWY2;Q3T9M0,biomart,uniprot_api
Map3k9,MLK1,MLK1,MAP3K9,MLK1,Mitogen-activated protein kinase kinase kinase 9,TKL,MLK,MLK,P80192,MGI:2449952,338372,KinHub,10/6/2020,Q3U1V8;,Q3U1V8;A0A1Y7VKX4;Q8K2L2,biomart,uniprot_api
Map4k1,HPK1,HPK1,MAP4K1,HPK1,Mitogen-activated protein kinase kinase kinase kinase 1,STE,STE20,KHS,Q92918,MGI:1346882,26411,KinHub,10/6/2020,;P70218,P70218;Q3UJX3;A0A140LJF0;Q3UPT4,biomart,uniprot_api
Map4k2,GCK,GCK,MAP4K2,GCK,Mitogen-activated protein kinase kinase kinase kinase 2,STE,STE20,KHS,Q12851,MGI:1346883,26412,KinHub,10/6/2020,;Q61161,Q61161;Q14B83;D3YUH9;Q14B82;Q3U4B8;A0A494BAL9;D6RG51;A0A494BAA6;D6RCZ7;F6RPB0,biomart,uniprot_api
Map4k3,KHS2,KHS2,MAP4K3,KHS2,Mitogen-activated protein kinase kinase kinase kinase 3,STE,STE20,KHS,Q8IVH8,MGI:2154405,225028,KinHub,10/6/2020,;Q99JP0,Q99JP0;E9QNE9;A0A3Q4EGQ9;Q8BV99,biomart,uniprot_api
Map4k4,HGK,ZC1/HGK,MAP4K4,HGK,Mitogen-activated protein kinase kinase kinase kinase 4,STE,STE20,MSN,O95819,MGI:1349394,26921,KinHub,10/6/2020,"",P97820;Q3UTY9;B7ZNR8;B2RUE8;F8VPL5;A0A0A6YW53;B7ZNR9;A0A0A6YVZ8;A0A0A6YWM8;A0A0A6YWR8;E9PVG7;A0A0A6YVR7;A0A0A6YWJ2;A0A0A6YXE5,,uniprot_api
Map4k5,KHS1,KHS1,MAP4K5,KHS1,Mitogen-activated protein kinase kinase kinase kinase 5,STE,STE20,KHS,Q9Y4K4,MGI:1925503,399510,KinHub,10/6/2020,Q8BPM2,Q8BPM2;Q8BRE4;Q05BG3;Q3UVS6,biomart,uniprot_api
Mapk1,Erk2,Erk2,MAPK1,Erk2,Mitogen-activated protein kinase 1,CMGC,MAPK,ERK1,P28482,MGI:1346858,26413,KinHub,10/6/2020,P63085;,P63085;Q3UF82;A0A338P736;Q922X7;A0A338P781,biomart,uniprot_api
Mapk10,JNK3,JNK3,MAPK10,JNK3,Mitogen-activated protein kinase 10,CMGC,MAPK,JNK,P53779,MGI:1346863,26414,KinHub,10/6/2020,"",Q61831;Q80W80;A0A5F8MP75;Q3TQZ7;Q78GB8;Q80W81;Q80W82;Q8C9D4;E9QN59;A0A0G2JGL2;A0A0G2JG69;Q8BQV0;A0A0G2JEJ8,,uniprot_api
Mapk11,p38b,p38b,MAPK11,p38b,Mitogen-activated protein kinase 11,CMGC,MAPK,p38,Q15759,MGI:1338024,19094,KinHub,10/6/2020,Q9WUI1,Q9WUI1;Q6PG57;Q6P243;Q3TT60,biomart,uniprot_api
Mapk12,p38g,p38g,MAPK12,p38g,Mitogen-activated protein kinase 12,CMGC,MAPK,p38,P53778,MGI:1353438,29857,KinHub,10/6/2020,O08911,O08911;Q99M09,biomart,uniprot_api
Mapk13,p38d,p38d,MAPK13,p38d,Mitogen-activated protein kinase 13,CMGC,MAPK,p38,O15264,MGI:1346864,26415,KinHub,10/6/2020,Q9Z1B7;,Q9Z1B7;A0A3B2WAS4;Q3UIB2;A0A3B2WBB9;A0A3F2YNL4;A0A3B2W3M0;D6RG58;A0A3B2WBD8;A0A3B2WDA4,biomart,uniprot_api
Mapk14,p38a,p38a,MAPK14,p38a,Mitogen-activated protein kinase 14,CMGC,MAPK,p38,Q16539,MGI:1346865,26416,KinHub,10/6/2020,P47811;,P47811;Q5U421;A0A3B2WB60;B2KF34;A0A3B2WAZ7,biomart,uniprot_api
Mapk15,Erk7,Erk7,MAPK15,Erk7,Mitogen-activated protein kinase 15,CMGC,MAPK,ERK7,Q8TD08,MGI:2652894,332110,KinHub,10/6/2020,Q80Y86;,Q80Y86;A0A2R8VHA4;Q7TS65,biomart,uniprot_api
Mapk3,Erk1,Erk1,MAPK3,Erk1,Mitogen-activated protein kinase 3,CMGC,MAPK,ERK1,P27361,MGI:1346859,26417,KinHub,10/6/2020,;Q63844,Q63844;A0A0U1RPX4;A0A0U1RPZ0;Q3U2H3;D3Z3G6;D3Z6D8,biomart,uniprot_api
Mapk4,Erk4,Erk4,MAPK4,Erk4,Mitogen-activated protein kinase 4,CMGC,MAPK,ERK3,P31152,MGI:2444559,225724,KinHub,10/6/2020,;Q6P5G0,Q6P5G0;E9PXX5;E9Q3I6;Q8BV72;Q3TZE1,biomart,uniprot_api
Mapk6,Erk3,Erk3,MAPK6,Erk3,Mitogen-activated protein kinase 6,CMGC,MAPK,ERK3,Q16659,MGI:1354946,50772,KinHub,10/6/2020,Q61532,Q61532;Q8C8P0;Q8R3S3,biomart,uniprot_api
Mapk7,Erk5,Erk5,MAPK7,Erk5,Mitogen-activated protein kinase 7,CMGC,MAPK,ERK5,Q13164,MGI:1346347,23939,KinHub,10/6/2020,;Q9WVS8,Q9WVS8;Q5NCN8;Z4YLV8,biomart,uniprot_api
Mapk8,JNK1,JNK1,MAPK8,JNK1,Mitogen-activated protein kinase 8,CMGC,MAPK,JNK,P45983,MGI:1346861,26419,KinHub,10/6/2020,Q91Y86;,Q91Y86;G3X8U9;Q544A0;A3KBF5;A6P3E4;Q7TSJ7;D3Z1Z4;A0A2I3BPL3,biomart,uniprot_api
Mapk9,JNK2,JNK2,MAPK9,JNK2,Mitogen-activated protein kinase 9,CMGC,MAPK,JNK,P45984,MGI:1346862,26420,KinHub,10/6/2020,Q9WTU6,Q9WTU6;Q5NCK8;Q8C094,biomart,uniprot_api
Mapkapk2,MAPKAPK2,MAPKAPK2,MAPKAPK2,MAPKAPK2,MAP kinase-activated protein kinase 2,CAMK,MAPKAPK,MK2,P49137,MGI:109298,17164,KinHub,10/6/2020,P49138;,P49138;Q3U2P8;A0A087WSN7;Q8R3U8;A0A4P3APB9,biomart,uniprot_api
Mapkapk3,MAPKAPK3,MAPKAPK3,MAPKAPK3,MAPKAPK3,MAP kinase-activated protein kinase 3,CAMK,MAPKAPK,MK2,Q16644,MGI:2143163,102626,KinHub,10/6/2020,Q3UMW7;,Q3UMW7;Q09HN3;Q8BVC2;B0QZU6,biomart,uniprot_api
Mapkapk5,MAPKAPK5,MAPKAPK5,MAPKAPK5,MAPKAPK5,MAP kinase-activated protein kinase 5,CAMK,MAPKAPK,MK5,Q8IW41,MGI:1333110,17165,KinHub,10/6/2020,O54992;,O54992;Q3UV25;A0A0G2JDF3;F7DD22;A0A0G2JGA5,biomart,uniprot_api
Mark1,MARK1,MARK1,MARK1,MARK1,Serine/threonine-protein kinase MARK1,CAMK,CAMKL,MARK,Q9P0L2,MGI:2664902,226778,KinHub,10/6/2020,Q8VHJ5;,Q8VHJ5;C9K101;Q14DQ3;A0A0A6YY78,biomart,uniprot_api
Mark2,MARK2,MARK2,MARK2,MARK2,Serine/threonine-protein kinase MARK2,CAMK,CAMKL,MARK,Q7KZI7,MGI:99638,13728,KinHub,10/6/2020,"",Q05512;E9QMP6;A0A0R4J0B1;Q3T9A3;Q3U3A1;A0A0R4J227;E9PYX3;E9Q9N6;Q571J8;F6ZS70;F7CVZ7;E9Q2G8;E9Q2J6;E9Q8H5;F7A3Q3;F6Z4Q6;E9PZ55;F6UY70;Q3UPZ7;F6ZEX4;F7CRG8,,uniprot_api
Mark3,MARK3,MARK3,MARK3,MARK3,MAP/microtubule affinity-regulating kinase 3,CAMK,CAMKL,MARK,P27448,MGI:1341865,17169,KinHub,10/6/2020,Q03141;,Q03141;A0A1Y7VNZ6;Q9JKE5;Q5DTG3;A0A1Y7VJB1;Q9CW99;A0A1Y7VK86,biomart,uniprot_api
Mark4,MARK4,MARK4,MARK4,MARK4,MAP/microtubule affinity-regulating kinase 4,CAMK,CAMKL,MARK,Q96L34,MGI:1920955,232944,KinHub,10/6/2020,Q8CIP4;,Q8CIP4;Q8BZE0;Q8C1L3;A0A140LIY2,biomart,uniprot_api
Mast1,MAST1,MAST1,MAST1,MAST1,Microtubule-associated serine/threonine-protein kinase 1,AGC,MAST,"",Q9Y2H9,MGI:1861901,56527,KinHub,10/6/2020,Q9R1L5;,Q9R1L5;Q3URY8;E9Q6Q5;Q7TQ97,biomart,uniprot_api
Mast2,MAST2,MAST2,MAST2,MAST2,Microtubule-associated serine/threonine-protein kinase 2,AGC,MAST,"",Q6P0Q8,MGI:894676,17776,KinHub,10/6/2020,"",Q60592;B1AST8;A0A668KL31;B1AST7;A0A668KLF8;B1AST5;B1AST6;Q9DBV8,,uniprot_api
Mast3,MAST3,MAST3,MAST3,MAST3,Microtubule-associated serine/threonine-protein kinase 3,AGC,MAST,"",O60307,MGI:2683541,546071,KinHub,10/6/2020,;Q3U214,Q3U214;A0A1D5RM97;A0A1D5RLF9;A0A1D5RLP3;A0A1D5RLJ1;A0A1D5RMK6;A0A1D5RMI5;A0A1D5RM57;Q8K1C6;A0A1D5RLA8,biomart,uniprot_api
Mast4,MAST4,MAST4,MAST4,MAST4,Microtubule-associated serine/threonine-protein kinase 4,AGC,MAST,"",O15021,MGI:1918885,328329,KinHub,10/6/2020,;Q811L6,Q811L6;E9PWX8;E9Q4Q9;E9QPR4;A0A0A6YXG1;E9Q1M8;A0A668KMA1;E9Q6G0;F7AIF3;Q62490;Q8BGU6,biomart,uniprot_api
Mastl,MASTL,MASTL,MASTL,MASTL,Serine/threonine-protein kinase greatwall,AGC,MAST,"",Q96GX5,MGI:1914371,67121,KinHub,10/6/2020,Q8C0P0,Q8C0P0,biomart,uniprot_api
Matk,CTK,CTK,MATK,CTK,Megakaryocyte-associated tyrosine-protein kinase,TK,Csk,"",P42679,MGI:99259,17179,KinHub,10/6/2020,"",P41242;A0A0R4J1N6;D3Z4T5;A0A0R4J1P8;Q2M2N5;Q9D6H7;D6RGA0;D3YVQ8,,uniprot_api
Melk,MELK,MELK,MELK,MELK,Maternal embryonic leucine zipper kinase,CAMK,CAMKL,MELK,Q14680,MGI:106924,17279,KinHub,10/6/2020,Q61846;,Q61846;Q3TJF3;Q3TU15;Q3UMB0;A2ALQ9;A2ALR0,biomart,uniprot_api
Mertk,MER,MER,MERTK,MER,Tyrosine-protein kinase Mer,TK,Axl,"",Q12866,MGI:96965,17289,KinHub,10/6/2020,Q60805,Q60805;Q8CE52;Q8C584,biomart,uniprot_api
Met,MET,MET,MET,MET,Hepatocyte growth factor receptor,TK,Met,"",P08581,MGI:96969,17295,KinHub,10/6/2020,"",P16056;Q8CH25;F8VQL0;A4FUV7;A4FUV6;D3YVY2;F6RCC5;A1A597;A2VCS0;F6X333;Q3TCS4,,uniprot_api
Mink1,MINK,ZC3/MINK,MINK1,MINK,Misshapen-like kinase 1,STE,STE20,MSN,Q8N4C8,MGI:1355329,50932,KinHub,10/6/2020,;Q9JM52,Q9JM52;G3X9G2;F7AMS7;Q61155;Q571L1;Q5SXG3;Q5SXG1;Q7TT13;J3QM71;J3QP32,biomart,uniprot_api
Mknk1,MNK1,MNK1,MKNK1,MNK1,MAP kinase-interacting serine/threonine-protein kinase 1,CAMK,MAPKAPK,MNK,Q9BUB5,MGI:894316,17346,KinHub,10/6/2020,"",O08605;A2A8W8;Q3TDV2;Q3U1I8;Q3V457;F6Y5U1;F6VT22;F6YIU3;F7B478,,uniprot_api
Mknk2,MNK2,MNK2,MKNK2,MNK2,MAP kinase-interacting serine/threonine-protein kinase 2,CAMK,MAPKAPK,MNK,Q9HBH9,MGI:894279,17347,KinHub,10/6/2020,Q8CDB0;,Q8CDB0;A0A0R4IZX7;W6CR13;A0A0G2JGS6;Q3TPM2;A0A0G2JDJ0;A0A0G2JGQ2;A7E2R7,biomart,uniprot_api
Mlkl,MLKL,MLKL,MLKL,MLKL,Mixed lineage kinase domain-like protein,TKL,TKL-Unique,"",Q8NB16,MGI:1921818,74568,KinHub,10/6/2020,Q9D2Y4;,Q9D2Y4;D3YV42,biomart,uniprot_api
Mok,MOK,MOK,MOK,MOK,MAPK/MAK/MRK overlapping kinase,CMGC,RCK,"",Q9UQ07,MGI:1336881,26448,KinHub,10/6/2020,;Q9WVS4,Q9WVS4;Q5M8P5;H3BLH6,biomart,uniprot_api
Mos,MOS,MOS,MOS,MOS,Proto-oncogene serine/threonine-protein kinase mos,Other,MOS,"",P00540,MGI:97052,17451,KinHub,10/6/2020,P00536,P00536,biomart,uniprot_api
Mst1r,RON,RON,MST1R,RON,Macrophage-stimulating protein receptor,TK,Met,"",Q04912,MGI:99614,19882,KinHub,10/6/2020,Q62190;,Q62190;B2RUR6;A0A0A6YXY9,biomart,uniprot_api
